seed,case,series,x_value,num_goods,num_bidders,scenario,arm,efficiency,efficiency_pct,initial_efficiency,efficiency_gain_from_initial_pct,true_welfare,full_info_welfare,welfare_loss,revenue,full_info_revenue,revenue_difference,revenue_difference_pct,revenue_loss,revenue_absolute_percentage_error,payment_error_over_optimum_welfare,initial_revenue_loss,revenue_loss_improvement_from_initial,surplus,value_queries,demand_queries,nl_queries,person_queries,person_tokens_in,person_tokens_out,person_tokens_total,shared_proxy_tokens_in,shared_proxy_tokens_out,candidate_bundles_generated,candidate_bundles_sent_to_pv,candidate_bundles_truncated,pv_calibration_family,pv_calibration_scale,pv_calibration_size_gamma,pv_calibration_size_threshold,pv_calibration_budget_cap,pv_calibration_config_hash
2,goods_4x8,goods,4,4,8,pc_build_4x8_from_spec,proxy sealed,0.9915730337078652,99.15730337078652,0.9452247191011236,4.63483146067416,3530.0,3560.0,30.0,2612.65,2910.0,-297.3499999999999,-10.218213058419241,0.10218213058419241,0.10218213058419241,0.4941769662921348,0.24054982817869477,0.13836769759450235,917.3499999999999,11,0,0,11,6467,3594,10061,21156,3299,64,64,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
3,goods_4x8,goods,4,4,8,pc_build_4x8_from_spec,proxy sealed,0.977705112960761,97.77051129607611,0.8665279429250892,11.117717003567185,3289.0,3364.0,75.0,2530.5299999999997,2755.0,-224.47000000000025,-8.147731397459175,0.08147731397459175,0.08147731397459175,0.31880796670630207,0.2500471869328492,0.16856987295825748,758.4700000000003,16,0,0,16,6060,3651,9711,21067,3333,80,80,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
4,goods_4x8,goods,4,4,8,pc_build_4x8_from_spec,proxy sealed,0.9252573932092005,92.52573932092005,0.9178532311062432,0.7404162102957357,8447.6,9130.0,682.3999999999996,7674.32,8000.0,-325.6800000000003,-4.071000000000003,0.04071000000000004,0.04071000000000004,0.38616429353778753,0.09607249999999988,0.05536249999999984,773.2800000000007,14,0,0,14,6000,2885,8885,20861,3154,66,66,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
0,goods_5x8,goods,5,5,8,pc_build_5x8_from_spec,proxy sealed,0.9328859060402684,93.28859060402685,0.9328859060402684,0.0,5004.0,5364.0,360.0,2673.2160000000003,4480.0,-1806.7839999999997,-40.32999999999999,0.40329999999999994,0.40329999999999994,0.5954578672632364,0.3905736607142856,-0.012726339285714316,2330.7839999999997,7,0,0,7,6903,3374,10277,16122,2689,140,140,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
1,goods_5x8,goods,5,5,8,pc_build_5x8_from_spec,proxy sealed,0.9626865671641791,96.26865671641791,0.9378109452736318,2.487562189054726,4644.0,4824.0,180.0,3559.836,4220.0,-660.1640000000002,-15.64369668246446,0.1564369668246446,0.1564369668246446,0.6821069651741294,0.33554028436018934,0.17910331753554473,1084.1640000000002,11,0,0,11,6332,3899,10231,24380,4531,176,176,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
2,goods_5x8,goods,5,5,8,pc_build_5x8_from_spec,proxy sealed,0.9946043165467626,99.46043165467626,0.9424460431654677,5.215827338129497,5530.0,5560.0,30.0,3893.2200000000003,4560.0,-666.7799999999997,-14.622368421052625,0.14622368421052626,0.14622368421052626,0.2602122302158273,0.30875087719298205,0.1625271929824558,1636.7799999999997,21,0,0,21,6785,3436,10221,22644,3637,82,82,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
3,goods_5x8,goods,5,5,8,pc_build_5x8_from_spec,proxy sealed,1.0,100.0,0.8883601756954612,11.163982430453878,5464.0,5464.0,0.0,3980.16,4405.0,-424.84000000000015,-9.644494892167994,0.09644494892167994,0.09644494892167994,0.07775256222547587,0.19593189557321214,0.0994869466515322,1483.8400000000001,12,0,0,12,6444,3227,9671,23689,4034,124,124,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
4,goods_5x8,goods,5,5,8,pc_build_5x8_from_spec,proxy sealed,0.9869739478957916,98.69739478957916,0.8597194388777555,12.725450901803615,9850.0,9980.0,130.0,8176.17,8720.0,-543.8299999999999,-6.236582568807338,0.06236582568807338,0.06236582568807338,0.10983667334669339,0.03531422018348609,-0.027051605504587295,1673.83,29,0,0,29,6229,3076,9305,23516,4042,136,136,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
0,goods_6x8,goods,6,6,8,pc_build_6x8_from_spec,proxy sealed,0.8093373493975904,80.93373493975903,0.8093373493975904,0.0,5374.0,6640.0,1266.0,3454.512,4684.0,-1229.4879999999998,-26.248676345004267,0.2624867634500427,0.2624867634500427,0.5616698795180722,0.4076635354397949,0.1451767719897522,1919.4879999999998,24,0,0,24,7183,3041,10224,15618,2932,240,240,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
1,goods_6x8,goods,6,6,8,pc_build_6x8_from_spec,proxy sealed,0.9683734939759037,96.83734939759037,0.9683734939759037,0.0,6430.0,6640.0,210.0,5111.9,6114.0,-1002.1000000000004,-16.39025188092902,0.16390251880929022,0.16390251880929022,0.3731777108433734,0.12735197906444243,-0.03655053974484779,1318.1000000000004,17,0,0,17,6819,3605,10424,29618,5176,272,272,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
