seed,case,series,x_value,num_goods,num_bidders,scenario,arm,efficiency,efficiency_pct,initial_efficiency,efficiency_gain_from_initial_pct,true_welfare,full_info_welfare,welfare_loss,revenue,full_info_revenue,revenue_difference,revenue_difference_pct,revenue_loss,revenue_absolute_percentage_error,payment_error_over_optimum_welfare,initial_revenue_loss,revenue_loss_improvement_from_initial,surplus,value_queries,demand_queries,nl_queries,person_queries,person_tokens_in,person_tokens_out,person_tokens_total,shared_proxy_tokens_in,shared_proxy_tokens_out,candidate_bundles_generated,candidate_bundles_sent_to_pv,candidate_bundles_truncated,pv_calibration_family,pv_calibration_scale,pv_calibration_size_gamma,pv_calibration_size_threshold,pv_calibration_budget_cap,pv_calibration_config_hash
4,bidders_8x7,bidders,7,8,7,pc_build_8x7_from_spec,proxy clock k=3,0.9144280442804428,91.44280442804428,nan,nan,9912.4,10840.0,927.6000000000004,6837.220000000001,6134.799999999999,702.4200000000019,11.449762013431602,-0.11449762013431602,0.11449762013431602,0.44302767527675296,nan,nan,3075.1799999999985,6,0,0,6,6196,2855,9051,42896,8627,629,629,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
0,bidders_8x9,bidders,9,8,9,pc_build_8x9_from_spec,proxy clock k=3,0.9823008849557522,98.23008849557522,nan,nan,7215.0,7345.0,130.0,4042.8140000000003,5224.0,-1181.1859999999997,-22.61075803981623,0.22610758039816226,0.22610758039816226,0.20100013614703874,nan,nan,3172.1859999999997,6,0,0,6,8316,3481,11797,38683,8391,719,719,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
1,bidders_8x9,bidders,9,8,9,pc_build_8x9_from_spec,proxy clock k=3,0.9861286254728878,98.61286254728878,nan,nan,7820.0,7930.0,110.0,5714.476000000001,7084.0,-1369.5239999999994,-19.332636928289094,0.19332636928289093,0.19332636928289093,0.24364438839848682,nan,nan,2105.5239999999994,5,0,0,5,8445,4393,12838,46341,9434,999,999,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
2,bidders_8x9,bidders,9,8,9,pc_build_8x9_from_spec,proxy clock k=3,0.8340845070422536,83.40845070422536,nan,nan,8883.0,10650.0,1767.0,7351.465999999999,6088.0,1263.4659999999994,20.75338370565045,-0.2075338370565045,0.2075338370565045,0.5896125821596243,nan,nan,1531.5340000000006,36,0,0,36,8709,5394,14103,54747,11123,803,803,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
3,bidders_8x9,bidders,9,8,9,pc_build_8x9_from_spec,proxy clock k=3,0.9642857142857143,96.42857142857143,nan,nan,6210.0,6440.0,230.0,4402.732,5364.0,-961.268,-17.920730797912007,0.17920730797912007,0.17920730797912007,0.28142732919254654,nan,nan,1807.268,7,0,0,7,8420,4344,12764,65248,12809,1007,1007,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
4,bidders_8x9,bidders,9,8,9,pc_build_8x9_from_spec,proxy clock k=3,0.9679595278246206,96.79595278246205,nan,nan,11480.0,11860.0,380.0,8894.68,10500.0,-1605.3199999999997,-15.288761904761902,0.15288761904761902,0.15288761904761902,0.37359190556492405,nan,nan,2585.3199999999997,14,0,0,14,7975,3503,11478,54659,11173,803,803,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
0,bidders_8x10,bidders,10,8,10,pc_build_8x10_from_spec,proxy clock k=3,0.9823008849557522,98.23008849557522,nan,nan,7215.0,7345.0,130.0,4057.572,5224.0,-1166.4279999999999,-22.32825421133231,0.2232825421133231,0.2232825421133231,0.20300939414567726,nan,nan,3157.428,6,0,0,6,9258,4058,13316,51230,10839,974,974,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
1,bidders_8x10,bidders,10,8,10,pc_build_8x10_from_spec,proxy clock k=3,0.9861286254728878,98.61286254728878,nan,nan,7820.0,7930.0,110.0,5714.476000000001,7084.0,-1369.5239999999994,-19.332636928289094,0.19332636928289093,0.19332636928289093,0.24364438839848682,nan,nan,2105.5239999999994,5,0,0,5,9303,5529,14832,49650,9955,1030,1030,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
2,bidders_8x10,bidders,10,8,10,pc_build_8x10_from_spec,proxy clock k=3,0.9107981220657277,91.07981220657277,nan,nan,9700.0,10650.0,950.0,7963.749999999998,8904.0,-940.2500000000018,-10.559860736747549,0.10559860736747549,0.10559860736747549,0.9125256338028168,nan,nan,1736.2500000000018,29,0,0,29,9635,5813,15448,61960,12595,930,930,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
3,bidders_8x10,bidders,10,8,10,pc_build_8x10_from_spec,proxy clock k=3,0.9642857142857143,96.42857142857143,nan,nan,6210.0,6440.0,230.0,4402.732,5364.0,-961.268,-17.920730797912007,0.17920730797912007,0.17920730797912007,0.28142732919254654,nan,nan,1807.268,7,0,0,7,9872,4685,14557,78787,15436,1262,1262,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
4,bidders_8x10,bidders,10,8,10,pc_build_8x10_from_spec,proxy clock k=3,0.96964586846543,96.964586846543,nan,nan,11500.0,11860.0,360.0,8911.94,10500.0,-1588.0599999999995,-15.124380952380946,0.15124380952380947,0.15124380952380947,0.42226475548060705,nan,nan,2588.0599999999995,12,0,0,12,8807,3790,12597,57255,11425,804,804,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
0,goods_4x8,goods,4,4,8,pc_build_4x8_from_spec,proxy clock k=3,0.8356625258799172,83.56625258799171,nan,nan,3229.0,3864.0,635.0,1787.1440000000002,3200.0,-1412.8559999999998,-44.15174999999999,0.44151749999999995,0.44151749999999995,0.5031428571428572,nan,nan,1441.8559999999998,8,0,0,8,6080,3623,9703,13220,1876,92,92,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
1,goods_4x8,goods,4,4,8,pc_build_4x8_from_spec,proxy clock k=3,0.9488206497552292,94.88206497552292,nan,nan,4264.0,4494.0,230.0,3236.5,3910.0,-673.5,-17.225063938618927,0.17225063938618926,0.17225063938618926,0.8737205162438807,nan,nan,1027.5,10,0,0,10,6462,3535,9997,21283,3376,88,88,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
2,goods_4x8,goods,4,4,8,pc_build_4x8_from_spec,proxy clock k=3,1.0,100.0,nan,nan,3560.0,3560.0,0.0,2907.9,2910.0,-2.099999999999909,-0.07216494845360512,0.0007216494845360512,0.0007216494845360512,0.0005898876404494127,nan,nan,652.0999999999999,10,0,0,10,6467,3594,10061,21156,3299,64,64,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
3,goods_4x8,goods,4,4,8,pc_build_4x8_from_spec,proxy clock k=3,0.977705112960761,97.77051129607611,nan,nan,3289.0,3364.0,75.0,2496.5299999999997,2755.0,-258.47000000000025,-9.38185117967333,0.09381851179673331,0.09381851179673331,0.30870095124851377,nan,nan,792.4700000000003,9,0,0,9,6060,3651,9711,21067,3333,80,80,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
4,goods_4x8,goods,4,4,8,pc_build_4x8_from_spec,proxy clock k=3,0.9835706462212487,98.35706462212487,nan,nan,8980.0,9130.0,150.0,7299.179999999999,8000.0,-700.8200000000006,-8.760250000000008,0.08760250000000008,0.08760250000000008,0.42195180722891557,nan,nan,1680.8200000000006,4,0,0,4,6000,2885,8885,20861,3154,66,66,0,uniform,1.4758,1.0,3,True,b07d2ebfe7863cda0771ca454a5836212cfe20b06910092f003dc1509a98ca0e
