series,x_value,mechanism,cases,efficiency_mean,efficiency_sd,efficiency_min,efficiency_max,value_queries_mean,payment_error_mean,revenue_error_mean
goods,10,Initial PV,5,0.8034319160060611,0.14342083627011346,0.554644495412844,0.9160481927710843,0,nan,nan
goods,10,Sealed,5,0.8808609928692255,0.06899835327705438,0.8130733944954128,0.9943775100401606,21.6,0.3154419609605251,0.14877458391928364
goods,10,Clock,5,0.8911588436369109,0.07151901902493399,0.825,0.9927710843373494,14.6,0.4710935554946592,0.17377654185275263
joint,4,Initial PV,5,0.9073962875288444,0.08596003726949743,0.7997032640949555,1.0,0,nan,nan
joint,4,Sealed,5,0.9893743141731088,0.02001141669321094,0.9540059347181009,1.0,10.4,0.11045843893762992,0.06116746486056327
joint,4,Clock,5,0.9512659213193368,0.0698420249281962,0.8356625258799172,1.0,8.0,0.21776414766175156,0.1244433776390935
joint,5,Initial PV,5,0.9216665813194898,0.03739122866569299,0.8750932140193886,0.9590316573556797,0,nan,nan
joint,5,Sealed,5,0.9764433523348712,0.03883887676589709,0.9105145413870246,1.0,12.4,0.18567301354644938,0.05437944468264901
joint,5,Clock,5,0.9548024276517989,0.057416890431779444,0.8620432513049963,1.0,7.2,0.3141035302398565,0.11011949805953385
joint,6,Initial PV,5,0.9259464461337353,0.09645913776521037,0.7766699314397649,1.0,0,nan,nan
joint,6,Sealed,5,0.9776650342801175,0.04994250162478473,0.8883251714005876,1.0,16.4,0.12405734233644823,0.05136604592018427
joint,6,Clock,5,0.9208607473425015,0.09871012534624621,0.7618975903614458,1.0,15.4,0.23897235975321368,0.07424721335336684
joint,7,Initial PV,5,0.8639740980464627,0.1239266145547613,0.6719659332860185,0.9865546218487395,0,nan,nan
joint,7,Sealed,5,0.9710632603560787,0.03292586248620951,0.9279352997145576,0.9990228013029316,17.4,0.2911444973883813,0.07420524714040908
joint,7,Clock,5,0.9272227646245503,0.05364816570102681,0.8737573099415205,0.9865546218487395,8.8,0.38366262787151206,0.12813353504475825
joint,8,Initial PV,5,0.8812904348919401,0.08077744700709633,0.7521739130434782,0.9618788291354663,0,nan,nan
joint,8,Sealed,5,0.9908293288745891,0.012214307210039934,0.9712837837837838,1.0,26.2,0.2506951340572474,0.1410812301005388
joint,8,Clock,5,0.9571804773319069,0.049526299197916915,0.8726708074534162,1.0,13.4,0.3816238738290501,0.16559405589020976
joint,9,Initial PV,5,0.8347330038232871,0.10737833466777719,0.6555700325732899,0.9299191374663073,0,nan,nan
joint,9,Sealed,5,0.943316878564149,0.06186505460195732,0.8644470868014269,1.0,25.2,0.40681886937749984,0.13525809255500992
joint,9,Clock,5,0.8882149862860768,0.16106757838054198,0.607100977198697,0.9926769731489016,7.4,0.45114401260442694,0.1842710497926795
joint,10,Initial PV,5,0.7805076739871891,0.13363988667485346,0.6297145328719723,0.9145789895749799,0,nan,nan
joint,10,Sealed,5,0.8747361231674482,0.08398309728884949,0.7656536697247707,1.0,26.6,0.3744390802743326,0.16300693712026515
joint,10,Clock,5,0.8758370557965306,0.0963096607500021,0.7442660550458715,0.9961908580593424,12.2,0.5554775551719375,0.19379609774193554
