held_out_instance,pass,scale,score
2,1,1.6,0.18835490840064695
2,1,1.7000000000000002,0.17858460712106952
2,1,1.8,0.1929823264990357
2,1,1.9000000000000001,0.282556767247663
2,1,2.0,0.30084804620420286
2,1,2.1,0.31163333550199906
2,1,2.2,0.41154967100145945
2,1,2.3,0.42389234780804336
2,1,2.4000000000000004,0.44196402039059096
2,1,2.5,0.46546831130410143
2,2,1.6,0.18835490840064695
2,2,1.61,0.19123979473305455
2,2,1.62,0.19461663832740891
2,2,1.6300000000000001,0.19686774595520015
2,2,1.6400000000000001,0.19743855541332653
2,2,1.6500000000000001,0.1976054981107288
2,2,1.6600000000000001,0.2004496322304936
2,2,1.6700000000000002,0.19970774112180387
2,2,1.6800000000000002,0.1990792286979213
2,2,1.6900000000000002,0.17710341088481726
2,2,1.7000000000000002,0.17858460712106952
2,2,1.7100000000000002,0.18056316722613475
2,2,1.7200000000000002,0.18197483390716376
2,2,1.7300000000000002,0.18338650058819275
2,2,1.7400000000000002,0.18479816726922174
2,2,1.7500000000000002,0.18620983395025073
2,2,1.7600000000000002,0.18798679743493266
2,2,1.7700000000000002,0.18936034920914893
2,2,1.7800000000000002,0.18981181707372952
2,2,1.7900000000000003,0.19122700375917187
2,2,1.8000000000000003,0.1929823264990359
2,3,1.6800000000000002,0.1990792286979213
2,3,1.681,0.17704931158726964
2,3,1.6820000000000002,0.19895352621314497
2,3,1.6830000000000003,0.1770613336533914
2,3,1.6840000000000002,0.17706734468645213
2,3,1.685,0.17707335571951302
2,3,1.6860000000000002,0.19870212124359174
2,3,1.6870000000000003,0.1770853777856347
2,3,1.6880000000000002,0.1985764187588154
2,3,1.689,0.1985135675164271
2,3,1.6900000000000002,0.17710341088481726
2,3,1.6910000000000003,0.19838786503165048
2,3,1.6920000000000002,0.17711543295093898
2,3,1.693,0.17716635416364057
2,3,1.6940000000000002,0.177329443847146
2,3,1.6950000000000003,0.1775386377261333
2,3,1.6960000000000002,0.1777478316051205
2,3,1.697,0.17795702548410783
2,3,1.6980000000000002,0.17816621936309499
2,3,1.6990000000000003,0.1783754132420824
2,3,1.7000000000000002,0.17858460712106952
2,4,1.6800000000000002,0.1990792286979213
2,4,1.6801000000000001,0.19907294357368255
2,4,1.6802000000000001,0.1990666584494437
2,4,1.6803000000000001,0.17704510386412695
2,4,1.6804000000000001,0.1770457049674331
2,4,1.6805,0.19904780307672734
2,4,1.6806,0.17704690717404514
2,4,1.6807,0.19903523282824964
2,4,1.6808,0.1770481093806575
2,4,1.6809,0.199022662579772
2,4,1.681,0.17704931158726964
2,4,1.6811,0.1770499126905756
2,4,1.6812,0.17705051379388184
2,4,1.6813,0.1770511148971878
2,4,1.6814,0.1989912369585778
2,4,1.6815,0.17705231710379998
2,4,1.6816,0.177052918207106
2,4,1.6817,0.17705351931041213
2,4,1.6818,0.17705412041371824
2,4,1.6819,0.17705472151702448
2,4,1.682,0.19895352621314474
all,1,0.5,0.31028166088004244
all,1,0.6,0.29746981322857935
all,1,0.7,0.2905221631079804
all,1,0.8,0.28596975883500825
all,1,0.9,0.28246392703718004
all,1,1.0,0.28899383299772646
all,1,1.1,0.26642240384599225
all,1,1.2000000000000002,0.2266325896797047
all,1,1.3,0.2316557242499871
all,1,1.4,0.2247858352378128
all,1,1.5,0.19482303086023678
all,1,1.6,0.2070046080940817
all,1,1.7000000000000002,0.23419431961903323
all,1,1.8,0.2450377111471846
all,1,1.9000000000000001,0.2880615950370811
all,1,2.0,0.30279058690170013
all,1,2.1,0.313846908224498
all,1,2.2,0.39449354442169954
all,1,2.3,0.4112728540628467
all,1,2.4000000000000004,0.4329007712575377
all,1,2.5,0.45435648765273373
all,2,1.4,0.2247858352378128
all,2,1.41,0.21991091643602279
all,2,1.42,0.22053727221814035
all,2,1.43,0.22766378361806058
all,2,1.44,0.22831970678268668
all,2,1.45,0.22162268877084226
all,2,1.46,0.19717739552297753
all,2,1.47,0.1961404686966789
all,2,1.48,0.18907179262373908
all,2,1.49,0.19375088432204496
all,2,1.5,0.19482303086023678
all,2,1.51,0.2021908732420362
all,2,1.52,0.19454887835559495
all,2,1.53,0.20573041288091842
all,2,1.54,0.20750018270035958
all,2,1.55,0.19897583487274187
all,2,1.56,0.20051684652224835
all,2,1.57,0.19126948584572281
all,2,1.58,0.19213047002857953
all,2,1.59,0.2053757134706955
all,2,1.6,0.2070046080940817
all,3,1.47,0.1961404686966789
all,3,1.471,0.19624838733175068
all,3,1.472,0.19635630596682255
all,3,1.4729999999999999,0.1884348128371884
all,3,1.474,0.19269097039746003
all,3,1.475,0.196680061872038
all,3,1.476,0.1846425556705085
all,3,1.4769999999999999,0.19689808493453131
all,3,1.478,0.18885794828191427
all,3,1.479,0.1929230676205827
all,3,1.48,0.18907179262373908
all,3,1.4809999999999999,0.18917871479465145
all,3,1.482,0.18928563696556383
all,3,1.483,0.197716088548241
all,3,1.484,0.18949948130738867
