seed,case,series,x_value,num_goods,num_bidders,initial_efficiency,sealed_efficiency,clock_efficiency,sealed_efficiency_gain,clock_efficiency_gain,clock_minus_sealed_efficiency,sealed_value_queries,clock_value_queries,sealed_rounds,clock_rounds,sealed_payment_error_over_optimum_welfare,clock_payment_error_over_optimum_welfare,sealed_revenue_error_over_optimum_welfare,clock_revenue_error_over_optimum_welfare,sealed_revenue_loss,clock_revenue_loss,sealed_allocation_match,clock_allocation_match,sealed_termination_reason,clock_termination_reason,clock_failure_classification,clock_best_efficiency,clock_final_minus_best_welfare
0,joint_6x6,joint,6,6,6,1.0,1.0,0.7618975903614458,0.0,-0.23810240963855422,-0.23810240963855422,9,13,4,18,0.038600000000000016,0.43262861445783124,0.038600000000000016,0.1493430722891566,-0.07223900789177004,0.2794921082299887,True,False,no_eligible_refinements,no_excess_demand,late_refinement_worsened_final_allocation,1.0,-1581.0
0,joint_7x7,joint,7,7,7,0.6719659332860185,0.9978708303761533,0.8997870830376153,0.3259048970901348,0.22782114975159684,-0.09808374733853797,10,6,3,18,0.096316252661462,0.15230347764371896,0.03379304471256199,0.05872732434350596,0.0604550533265615,0.1050619603859826,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.8997870830376153,0.0
0,joint_9x9,joint,9,9,9,0.6555700325732899,0.8923778501628664,0.607100977198697,0.23680781758957647,-0.048469055374592895,-0.28527687296416937,32,3,9,18,0.2866514657980456,1.040266319218241,0.1785925732899022,0.2532841693811075,0.24768666425731828,0.35127502710516806,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.6555700325732899,-372.0
1,anchor_8x8,anchor,8,8,8,0.9349306431273644,0.9962168978562421,0.9596469104665826,0.06128625472887772,0.024716267339218168,-0.03656998738965955,21,5,6,25,0.21973543505674648,0.30558814627994946,0.16018234552332913,0.24603505674653214,0.17931197063805762,0.2754175607001694,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.9596469104665826,0.0
1,bidders_8x10,bidders,10,8,10,0.9349306431273644,0.9962168978562421,0.9861286254728878,0.06128625472887772,0.05119798234552342,-0.010088272383354302,19,5,6,25,0.21415233291298855,0.24364438839848682,0.1545992433795712,0.17270163934426222,0.1730621118012422,0.19332636928289093,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.9861286254728878,0.0
1,bidders_8x4,bidders,4,8,4,0.9305151915455746,0.9305151915455746,0.9075297225891678,0.0,-0.02298546895640685,-0.02298546895640685,10,9,4,27,0.59520285336856,0.17584940554821657,0.1320875033025099,0.0710071334214003,0.20404089378634832,-0.10968758289970418,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.9305151915455746,-174.0
1,bidders_8x5,bidders,5,8,5,0.9305151915455746,0.9305151915455746,0.9233817701453104,0.0,-0.007133421400264184,-0.007133421400264184,12,9,5,25,0.5432287978863937,0.18302932628797888,0.1634369881109642,0.03591492734478218,0.24841240839273143,-0.054588093564903344,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.9305151915455746,-54.0
1,bidders_8x6,bidders,6,8,6,0.9305151915455746,0.9305151915455746,0.9233817701453104,0.0,-0.007133421400264184,-0.007133421400264184,12,9,5,25,0.5432287978863937,0.18470198150594444,0.1634369881109642,0.03758758256274775,0.24841240839273143,-0.0571304085935148,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.9305151915455746,-54.0
1,bidders_8x7,bidders,7,8,7,0.9173051519154557,0.9331571994715984,0.9233817701453104,0.015852047556142668,0.0060766182298547244,-0.009775429326287943,7,9,3,25,0.6437386525759577,0.18887793923381765,0.13311048877146628,0.041763540290620946,0.20231832145366924,-0.06347756249372564,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.9233817701453104,0.0
1,bidders_8x9,bidders,9,8,9,0.9349306431273644,0.9962168978562421,0.9861286254728878,0.06128625472887772,0.05119798234552342,-0.010088272383354302,19,5,6,25,0.21415233291298866,0.24364438839848682,0.15459924337957134,0.17270163934426222,0.17306211180124234,0.19332636928289093,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.9861286254728878,0.0
1,goods_10x8,goods,10,10,8,0.8536861148801448,0.8778833107191316,0.9294436906377205,0.02419719583898683,0.07575757575757569,0.05156037991858886,14,5,4,21,0.20868046132971502,0.7952713704206242,0.17023631840796016,0.3043464495703301,0.1856436498150431,0.3318914919852034,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.9294436906377205,0.0
1,goods_4x8,goods,4,4,8,0.9488206497552292,1.0,0.9488206497552292,0.05117935024477083,0.0,-0.05117935024477083,16,10,5,37,0.00240765465064524,0.8737205162438807,0.00240765465064524,0.14986648865153537,0.0027672634271099,0.17225063938618926,True,False,no_eligible_refinements,no_excess_demand,seen_but_not_refined,0.9488206497552292,0.0
1,goods_5x8,goods,5,5,8,0.9378109452736318,0.9626865671641791,0.9087893864013267,0.02487562189054726,-0.029021558872305175,-0.05389718076285244,11,6,3,25,0.6821069651741294,0.6632989220563847,0.1368499170812604,0.20320190713101163,0.1564369668246446,0.23228578199052136,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.9378109452736318,-140.0
1,goods_6x8,goods,6,6,8,0.9683734939759037,0.9683734939759037,0.9683734939759037,0.0,0.0,0.0,17,18,8,37,0.3731777108433734,0.41199457831325303,0.15091867469879525,0.19862590361445787,0.16390251880929022,0.2157140987896631,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.9683734939759037,0.0
1,goods_7x8,goods,7,7,8,0.9080141843971631,0.9385106382978723,0.9385106382978723,0.03049645390070921,0.03049645390070921,0.0,13,5,3,25,0.3086019858156029,0.24700567375886529,0.10841929078014181,0.15505390070921987,0.11752091020910206,0.16807041820418206,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.9385106382978723,0.0
1,goods_9x8,goods,9,9,8,0.8384661117717004,0.9215219976218787,0.9869203329369798,0.08305588585017831,0.1484542211652794,0.06539833531510109,39,5,13,23,0.25405112960760995,0.3330542211652795,0.13918549346016637,0.24531343638525557,0.15516304347826076,0.2734737539766701,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.9869203329369798,0.0
1,joint_10x10,joint,10,10,10,0.8401175938489371,0.8801447308909995,0.9294436906377205,0.0400271370420624,0.08932609678878334,0.04929895974672094,16,4,5,21,0.2525045228403437,0.7952713704206242,0.15978629579375844,0.3043464495703301,0.17424784217016026,0.3318914919852034,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.9294436906377205,0.0
1,joint_4x4,joint,4,4,4,1.0,1.0,1.0,0.0,0.0,0.0,12,9,4,37,0.01000938086303936,0.0,0.01000938086303936,0.0,-0.013187084813842063,0.0,True,True,no_eligible_refinements,no_excess_demand,no_failure_global,1.0,0.0
1,joint_5x5,joint,5,5,5,0.9455811928602526,0.9717022202873313,0.9717022202873313,0.02612102742707878,0.02612102742707878,0.0,7,2,2,25,0.48126164562472795,0.5933051806704398,0.09340095777100563,0.01864257727470619,0.12098801635415193,-0.024148879176653103,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.9717022202873313,0.0
1,joint_6x6,joint,6,6,6,1.0,1.0,1.0,0.0,0.0,0.0,17,19,8,37,0.004332814930015501,0.0045325038880249195,0.004332814930015501,0.0016883359253498861,-0.005927029039463817,0.0023095415381341913,True,True,no_eligible_refinements,no_excess_demand,no_failure_global,1.0,0.0
1,joint_7x7,joint,7,7,7,0.8423245614035088,0.9439327485380117,0.8737573099415205,0.10160818713450293,0.0314327485380117,-0.07017543859649122,13,5,3,22,0.10025877192982463,0.4048356725146199,0.025258771929824626,0.10176549707602339,-0.033939691582359384,-0.13674020233768786,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.8737573099415205,0.0
1,joint_9x9,joint,9,9,9,0.8384661117717004,0.8644470868014269,0.9869203329369798,0.025980975029726516,0.1484542211652794,0.12247324613555288,22,5,8,22,1.123426159334126,0.3330542211652795,0.08347372175980966,0.24531343638525557,0.09305593849416745,0.2734737539766701,False,False,no_eligible_refinements,no_excess_demand,refined_but_miscalibrated,0.9869203329369798,0.0
2,anchor_8x8,anchor,8,8,8,0.8740397350993377,1.0,1.0,0.12596026490066226,0.12596026490066226,0.0,58,39,24,34,0.04903390728476823,0.04147364238410599,0.04903390728476823,0.04147364238410599,0.06451829905890556,0.054570582084349985,True,True,no_eligible_refinements,no_excess_demand,no_failure_global,1.0,0.0
